marco e il nonno preparano l’occorrente per la pesca||||MARCO+NONNO+OCCORRENTE+PREPARARE+(PRESENTE)+PESCA
subito scoppiò un applauso, ma il re, con un gesto della mano, chiese il silenzio.||||SUBITO+SCOPPIARE+(PASSATO)+APPLAUSO+MA+RE+GESTO+MANO+CHIEDERE+(PASSATO)+SILENZIO
la mia felicità è ancora più grande  proseguì  perché oggi posso riabbracciare i miei figli, i tre splendidi bambini che lei mi aveva donato, mentre mi era stato riferito che erano nati tre brutti cagnolini.||||FELICITÀ+MIA+ESSERE+(PASSATO)+GRANDE+PIÙ+PROSEGUIRE+(PASSATO)+PERCHÉ+OGGI+POTERE+(INFINITO)+RIABBRACCIARE+(INFINITO)+FIGLI+MIEI+TRE+BAMBINI+SPLENDIDI+DONARE+(PASSATO)+ESSERE+(PASSATO)+RIFERITO+NASCERE+(PASSATO)+TRE+CAGNOLINI+BRUTTI
batté nuovamente le mani e nella sala entrarono i tre fanciulli.||||BATTERE+(PASSATO)+NUOVAMENTE+MANI+ENTRARE+(PASSATO)+SALA+TRE+FANCIULLI
vestiti di bianco, con i capelli d'oro sciolti sulle spalle e la stella che luccicava sulle loro fronti, recando in mano il pomo che suona, l'acqua che balla e l'uccellin bel verde, andarono a sedersi alla sinistra del re.||||VESTITI+BIANCO+CAPELLI+ORO+SCIOLTI+SPALLE+STELLA+LUCCICARE+(PASSATO)+FRONTE+PORTARE+(PASSATO)+MANO+POMO+SUONANTE+ACQUA+BALLANTE+UCCELLIN+VERDE+ANDARE+(PASSATO)+SEDERSI+SINISTRA+RE
il tripudio era generale. il re però si rabbuiò e la sua voce si fece terribile.||||TRIPUDIO+ESSERE+(PASSATO)+GENERALE+RE+RABBUIARE+(PASSATO)+VOCE+FARE+(PASSATO)+TERRIBILE
in quanto alla donna che credevo mi fosse devota e che mi ha invece ingannato, ferendomi negli affetti più cari... che sia condannata a morte!||||DONNA+CREDERE+(PASSATO)+DEVOTA+INGANNARE+(PASSATO)+FERIRE+(PASSATO)+AFFETTI+CARI+CONDANNARE+(INFINITO)+ESSERE+(PRESENTE)+MORTE
il silenzio piombò sulla sala. tutti guardavano la cattiva cugina, pallida di paura e di disperazione.||||SILENZIO+PIOMBARE+(PASSATO)+SALA+TUTTI+GUARDARE+(PASSATO)+CUGINA+CATTIVA+PALLIDA+PAURA+DISPERAZIONE
ma a questo punto si udì, per la prima volta, la voce dolce della regina, che chiedeva pietà per la colpevole.||||QUESTO+PUNTO+UDIRSI+(PASSATO)+PRIMA+VOLTA+VOCE+DOLCE+REGINA+CHIEDERE+(PASSATO)+PIETÀ+COLPEVOLE
vi prego, mio signore, nulla deve offuscare la gioia di questo momento! perdonatela, e mandatela lontano da qui, in modo che non possa più fare del male.||||PREGARE+(INFINITO)+SIGNORE+MIO+NULLA+DOVERE+(INFINITO)+OFFUSCARE+(INFINITO)+GIOIA+QUESTO+MOMENTO+PERDONARE+(INFINITO)+MANDARE+(INFINITO)+LONTANO+QUI+MODALITÀ+NO+POTERE+(INFINITO)+FARE+(INFINITO)+MALE
il re accondiscese e da quel giorno tutti vissero sereni; anche i mugnai si stabilirono a corte, perché il re sapeva di dovere a loro e al vecchio servitore la salvezza dei suoi figli e della sua sposa, e la propria felicità.||||RE+ACCONDISCENDERE+(PASSATO)+DA+GIORNO+QUELLO+TUTTI+VIVERE+(PASSATO)+SERENI+MUGNAI+STABILIRSI+(PASSATO)+CORTE+PERCHÉ+RE+SAPERE+(PASSATO)+DOVERE+(PASSATO)+LORO+SERVITORE+VECCHIO+SALVEZZA+FIGLI+SUOI+SPOSA+FELICITÀ+PROPRIA+ESSERE+(PASSATO)
è arrivata la sera del saggio di pattinaggio: martina è un po' agitata, ma sa che andrà tutto bene perché ha provato il suo numero tante volte.||||SERA+SAGGIO+PATTINAGGIO+ARRIVARE+(PASSATO)+MARTINA+AGITARE+(PRESENTE)+POCO+SAPERE+(PRESENTE)+TUTTO+ANDARE+(FUTURO)+BENE+PERCHÉ+PROVARE+(PASSATO)+NUMERO+TANTE+VOLTA
mentre prepara lo zaino con ciò che le occorre, il suo cagnolino bobo le gironzola attorno in cerca di coccole.||||MARTINA+ZAINO+OCCORRERE+(PRESENTE)+PREPARARE+(PRESENTE)+BOBO+ATTORNO+GIRARE+(PRESENTE)+CERCA+COCCOLA
e ancora un cucciolo e combina tanti guai, un po' per curiosità, un po' perché si spaventa facilmente.||||ESSERE+(PRESENTE)+CUCCIOLO+ANCORA+COMBINARE+(PRESENTE)+TANTI+GUAI+POCO+CURIOSITÀ+POCO+PERCHÉ+SPAVENTARE+(PRESENTE)+FACILE
la sua paura più grande è il temporale.||||PAURA+GRANDE+ESSERE+(PRESENTE)+TEMPORALE+SUO
questa sera non potrà andare in palestra con martina e il resto della famiglia, ma dovrà rimanere in casa da solo.||||QUESTA+SERA+NON+POTERE+(FUTURO)+ANDARE+(FUTURO)+PALESTRA+CON+MARTINA+RESTO+FAMIGLIA+DOVERE+(FUTURO)+RIMANERE+(FUTURO)+CASA+SOLO
a questo pensiero la bambina decide di dedicargli qualche minuto: lo prende in braccio e se lo coccola teneramente, raccomandandogli di non combinare pasticci durante la loro assenza.||||PENSIERO+QUESTO+BAMBINA+DECIDERE+(PRESENTE)+DEDICARE+(PRESENTE)+QUALCHE+MINUTO+PRENDERE+(PRESENTE)+BRACCIO+COCCOLA+TENERO+RACCOMANDARE+(PRESENTE)+NON+COMBINARE+(FUTURO)+PASTICCIO+DURANTE+ASSENZA+LORO
prima di uscire, martina, la mamma, il papà e il piccolo filippo accarezzano bobo, che li osserva tristemente, e lo salutano.||||PRIMA+USCIRE+(FUTURO)+MARTINA+MAMMA+PAPÀ+FILIPPO+PICCOLO+ACCAREZZARE+(PRESENTE)+BOBO+OSSERVARE+(PRESENTE)+TRISTE+SALUTARE+(PRESENTE)
salendo in macchina vedono che sono in arrivo dei nuvoloni neri, ma ormai è troppo tardi e devono andare.||||SALIRE+(PRESENTE)+MACCHINA+VEDERE+(PRESENTE)+ARRIVARE+(PRESENTE)+NUVOLONI+NERI+MA+ORMAI+ESSERE+(PRESENTE)+TARDI+TROPPO+DOVERE+(PRESENTE)+ANDARE+(PRESENTE)
«speriamo che arrivi solo la pioggia senza lampi e tuoni, altrimenti... povero bobo!» pensa martina.||||SPERARE+(PRESENTE)+ARRIVARE+(FUTURO)+SOLO+PIOGGIA+SENZA+LAMPO+TUONO+ALTRIMENTI+POVERO+BOBO+PENSARE+(PRESENTE)+MARTINA
non appena lo spettacolo inizia, però, si scatena un forte temporale.||||NON+APPENA+SPETTACOLO+INIZIARE+(PRESENTE)+PERO+SCATENARE+(PRESENTE)+TEMPORALE+FORTE
bobo deve affrontarlo da solo... così come è capace, e quando la famiglia rientra a casa, trova il salotto distrutto: libri, sedie e soprammobili rovesciati, i cuscini del divano per terra.||||BOBO+DOVERE+(PRESENTE)+AFFRONTARE+(PRESENTE)+SOLO+COSÌ+COME+ESSERE+(PRESENTE)+CAPACE+QUANDO+FAMIGLIA+RIENTRARE+(PRESENTE)+CASA+TROVARE+(PRESENTE)+SALOTTO+DISTRUTTO+LIBRO+SEDIA+SOPRAMMOBILE+ROVESCIO
mentre tutti si guardano attorno increduli, lui gira loro intorno saltellante, felice di rivederli!||||TUTTI+ATTORNO+GUARDARE+(PRESENTE)+INCREDEBILE+MENTRE+LUI+LORO+ATTORNO+GIRARE+(PRESENTE)+SALTELLARE+FELICE+RIVEDERE+(PRESENTE)
sono nato il 16 novembre del 2976, in un piccolo paesino, di una nuova isola.||||IO+NASCERE+(PASSATO)+16+NOVEMBRE+2976+PAESINO+PICCOLO+ISOLA+NUOVA.
questo è il mio sedicesimo "passaggio" sulla terra.||||QUESTO+PASSAGGIO+SEDICESIMO+IO+TERRA.
ogni volta è diverso, un nuovo padre, una nuova madre, nuovi fratelli.||||OGNI+VOLTA+DIVERSO+PADRE+NUOVO+MADRE+NUOVO+FRATELLI+NUOVI.
non sempre si è fortunati, alcune volte ci si ritrova soli, senza una casa, senza niente da mangiare e con troppa indifferenza intorno.||||FORTUNA+NON+SEMPRE,+VOLTE+ALCUNE+SOLI+TROVARSI+(PASSATO),+CASA+SENZA,+MANGIARE+NIENTE,+INDIFFERENZA+TROPPA+INTORNO.
non tutti ricordano le loro vite passate, ma questo accade perché sono state talmente inutili, che anche se riuscissero a ricordarle niente in loro cambierebbe.||||TUTTI+NON+RICORDARE+(PRESENTE)+VITE+LORO+PASSATE,+MA+ACCADERE+(PRESENTE)+PERCHÉ+INUTILI+MOLTO,+ANCHE+SE+RICORDARE+(FUTURO)+LORO,+CAMBIARE+NIENTE.
chi ricorda impara, ed è più sensibile alle sofferenze dei meno fortunati.||||CHI+RICORDARE+(PRESENTE)+IMPARARE,+ESSERE+PIÙ+SENSIBILE+SOFFERENZE+MENO+FORTUNATI.
pian piano con il passare dei giorni mi ritornano in mente ricordi della mia vita precedente.||||GIORNI+PASSARE+(PRESENTE)+PIANO+PIANO,+RICORDI+VITA+MIA+PRECEDENTE+MENTE+MIA+TORNARE+(PRESENTE).
deve essere stato parecchio tempo fa perché c'era ancora il sole.||||DOVERE+(PASSATO)+ESSERE+TEMPO+MOLTO+PERCHÉ+SOLE+ANCORA+ESSERE+(PASSATO).
da oggi la cercherò.||||DA+OGGI+CERCARE+(FUTURO)+LEI.
sono felice.||||IO+FELICE.
anche lei, forse, starà cercandomi.||||ANCHE+LEI+FORSE+CERCARE+(FUTURO)+IO.
ricordo quello che ci disse un vecchio indiano emigrato nel nostro paese: "quando uno di voi ricorderà, deve prendere un pezzo di legno morbido, farne un bracciale e scrivere il nome della persona amata. il bracciale vi aiuterà a ritrovarvi."||||RICORDARE+(PASSO)+INDIANO+VECCHIO+EMIGRARE+NOSTRO+PAESE+DIRE+(PASSATO):+"QUANDO+UNO+VI+RICORDARE+(FUTURO),+DOVERE+PRENDERE+PEZZO+LEGNO+MORBIDO,+FARE+BRACCIALETTO,+SCRIVERE+NOME+PERSONA+AMATA.+BRACCIALETTO+AIUTARE+TROVARSI+(FUTURO)."
domani andrò nel bosco a cercare il legno per fare il bracciale.||||DOMANI+ANDARE+(FUTURO)+BOSCO+CERCARE+LEGNO+FARE+BRACCIALETTO.
l'ho ritrovata.||||TROVARE+(PASSATO)+LEI.
aveva un fazzoletto legato sui capelli che le copriva un po' il viso, sembrava spaventata, camminava a passo svelto sul ponte di pietra che scavalca il fiume, diretta verso il bosco.||||LEI+AVERE+FAZZOLETTO+LEGATO+CAPELLI,+COPRIRE+(PASSATO)+POCO+VISO,+SEMBRARE+SPAVENTATA,+CAMMINARE+PASSO+SVELTO+PONTE+PIETRA+SCAVALCARE+FIUME,+DIREZIONE+BOSCO.
era sicuramente lei, il suo volto è l'unico che ricordo, e dopo anni quel che provo non è cambiato.||||ESSERE+SICURAMENTE+LEI,+VOLTO+SUO+UNICO+RICORDARE+(PRESENTE),+ANNI+DOPO+PROVARE+(PRESENTE)+ESSERE(;)+CAMBIARE+(PASSATO)+NO.
mi ha guardato con quegli occhi che più volte mi hanno sorriso, ma che adesso gridavano aiuto.||||GUARDARE+(PASSATO)+IO+OCCHI+QUELLI,+SORRIDERE+(PASSATO)+PIÙ+VOLTE+IO,+MA+ORA+GRIDARE+(PASSATO)+AIUTO.
non sono riuscito a vederla bene, ma sono certo che non indossava il bracciale, che a me aveva permesso di ritrovarla.||||VEDERE+(PASSATO)+BENE+LEI+NON+RIESCIRE+(PASSATO),+ESSERE+CERTO+LEI+BRACCIALETTO+NON+INDOSSARE,+PERMETTERE+(PASSATO)+TROVARE+(PASSATO)+LEI.
non so se ricorda qualcosa della sua vita precedente, se ricorda il mio volto, ma sicuramente la mia presenza le ha suscitato un'emozione.||||SAPERE+(PRESENTE)+NO+SE+RICORDARE+(PRESENTE)+QUALCOSA+VITA+SUA+PRECEDENTE,+SE+RICORDARE+(PRESENTE)+VOLTO+MIO,+MA+SICURAMENTE+PRESENZA+MIA+EMOTIONS
e' tutto così strano questa notte: rumori inquietanti, odore di caffè nell'aria, angosciante solitudine.||||NOTTE+QUESTA+STRANO+TUTTO:+RUMORI+INQUIETANTI+ODORE+CAFFÈ+ARIA+SOLITUDINE+ANGOSCIANTE.
il cielo è chiuso in un dipinto||||CIELO+DIPINTO+CHIUSO+(PASSATO)
i colori del mondo tutti in una stanza||||COLORI+MONDO+TUTTI+STANZA+DENTRO
le carezze e i pugni del mondo tutti fuori ad aspettare che martin hosselof ritorni a casa||||CAREZZE+PUGNI+MONDO+TUTTI+FUORI+ATTENDERE+(PRESENTE)+MARTIN+HOSSELOF+CASA+RITORNARE+(FUTURO)
ritorni nel suo paese ad arrampicarsi sugli alberi||||PAESE+SUO+MARTIN+HOSSELOF+ALBERI+ARRAMPICARE+(FUTURO)
a spingere le altalene||||ALTALANE+SPINGERE+(FUTURO)
ad accendere una fiamma per illuminare il buio nella notte||||FIAMMA+ACCENDERE+BUIO+NOTTE+ILLUMINARE+(FUTURO)
ogni tanto si gira verso di me mentre io me ne sto lì per ore a guardare il mare senza pensare a nulla||||OGNI+TANTO+VERSO+A+ME+GIRARE+MARE+GUARDARE+ORE+LÙNGHE+SENZA+NULLA+PENSARE+(PRESENTE)
ma questa notte è diverso||||NOTTE+QUESTA+DIVERSO
questa barca mi sembra una grande stanza che ha per soffitto il cielo||||BARCA+QUESTA+STANZA+GRANDE+SEMBRARE+SOFFITTO+CIELO
e come in tutte le grandi stanze dove non c'è nessuno ci si sente persi||||STANZA+GRANDE+TUTTE+NESSUNO+SENTIRE+PERSI
domani ce la faremo||||DOMANI+FARE+(FUTURO)+POSSIAMO
lui è deciso a raggiungere l'orizzonte ed intanto dipinge con i colori del mondo||||LUI+DECISO+ORIZZONTE+RAGGIUNGERE+(FUTURO)+INTANTO+MONDO+COLORI+DIPINGERE+(PRESENTE)
il blue e il bianco; il blue degli occhi di sua madre e il bianco della barca||||BLU+BIANCO;+OCCHI+SUA+MADRE+BLU+BARCA+BIANCO
ogni tanto martin hosselof posa il pennello e si ferma a guardare l'orizzonte||||OGNI+TANTO+MARTIN+HOSSELOF+PENNELLO+POSARE+ORIZZONTE+GUARDARE+(PRESENTE)
il suo sogno è ancora lontano||||SOGNO+SUO+LONTANO+ANCORA
troppo buona, come al solito, la maestra rita continuava a spiegare, incurante del caos che regnava nella sua classe.||||RITA+MAESTRA+SPIEGARE+(PASSATO)+CAOS+INDIFFERENTE
l'arcobaleno è quel fenomeno di dispersione ottica che ci rivela i numerosi e smaglianti colori di cui è composta la luce bianca del sole.||||ARCOBALENO+FENOMENO+DISPERSIONE+LUCE+BIANCA+SOLE+COLORI+SMAGLIANTI+REVELARE
esso è formato da minuscole gocce d'acqua in sospensione che agiscono da prismi e scompongono la luce in sette colori: azzurro, indaco, violetto, giallo, verde, arancio e rosso.||||ARCOBALENO+FORMARE+(PASSATO)+GOCCE+ACQUA+SOSPENSIONE+PRISMI+SUDIVIDERE+LUCE+COLORI+SETTE:+AZZURRO+INDACO+VIOLETTO+GIALLO+VERDE+ARANCIO+ROSSO
ma per christian l'arcobaleno, quello che si sforzava di sognare ogni sera a letto, era ben altro, forse, a pensarci bene, solo un'insensata lotta con se stesso.||||CHRISTIAN+ARCOBALENO+SOGNARE+(PASSATO)+LETTO+DIVERSAMENTE+LOTTA+FOLLE+SE+STESSO
christian, in sogno, riusciva sempre a mettere l'arcobaleno sopra la testa di maya, la bambina con la quale trascorreva le ore più piacevoli della giornata e poi, sotto maya e l'arcobaleno appariva quel mare immenso e cristallino su cui far rimbalzare le piccole pietre parlanti.||||CHRISTIAN+SOGNO+METTERE+(PASSATO)+ARCOBALENO+SOPRA+TESTA+MAYA+MAYA+BAMBINA+TRASCORRERE+(PASSATO)+ARCOBALENO+MARE+IMMENSO+CRISTALLINO+PIETRE+PARLANTI+RIMBALZARE
ma c'erano quelle maledette, minuscole porte a rovinare tutto. una porta chiusa incastrata nel verde e una aperta nel rosso ed egli non riusciva a resistere, doveva per forza entrarci lasciando fuori l'aura primaverile, maya e i colori stessi dell'arcobaleno.||||PORTE+MALEDETTE+ROVINARE+TUTTO+PORTA+CHIUSA+VERDE+PORTA+APERTA+ROSSO+RESISTERE+(PASSATO)+ENTRARE+AURA+PRIMAVERILE+MAYA+COLORI+ARCOBALENO+LASCIARE+(PASSATO)
vane erano le parole delle piccole pietre che cercavano in tutti i modi di dissuaderlo.||||PAROLE+PIETRE+PICCOLE+TENTARE+(PASSATO)+DISSUADERE+INUTILMENTE
allorché si preparava ad entrare nella porta incastrata nel rosso, un uomo dalle membra robuste, alto e privo di lineamenti lo fermava: "se vuoi entrare, dimmi: perché la luce sembra rossa quando abbiamo gli occhi chiusi?"||||PREPARARE+(PASSATO)+ENTRARE+PORTA+ROSA+UOMO+ROBUSTO+ALTO+FERMARE+(PASSATO)+ENTRARE+MOTIVARE+LUCE+ROSSA+OCCHI+CHIUSI
la maestra rita aveva spiegato questa strana cosa, ma lui non ricordava. era così costretto ad abbandonare il rosso e provava col verde.||||RITA+MAESTRA+SPIEGARE+(PASSATO)+STRANO+NON+RICORDARE+COSTRETO+ABBANDONARE+(PASSATO)+ROSSO+PROVARE+(PASSATO)+VERDE
apriva la porta, ma uno strano essere alto, anch'esso senza volto, dalla pelle verde, lo fermava: "se vuoi entrare dimmi le sette meraviglie del mondo".||||APRIRE+(PASSATO)+PORTA+ESSERE+STRANO+ALTO+PELLE+VERDE+FERMARE+(PASSATO)+ENTRARE+ELENCO+MERAVIGLIE+MONDO+SETTE
la maestra rita, un giorno, le aveva elencate, ma lui non ricordava.||||RITA+MAESTRA+ELENCO+MERAVIGLIE+MONDO+SETTE+SPIEGARE+(PASSATO)+NON+RICORDARE
avvilito, si sedeva sotto l'arcobaleno, senza maya, senza l'aura primaverile e vedeva un pony bianco alato allontanarsi sempre più.||||AVVILITO+SEDERE+(PASSATO)+ARCOBALENO+SENZA+MAYA+SENZA+AURA+PRIMAVERILE+VEDERE+(PASSATO)+PONY+BIANCO+ALATO+ALLONTANARE
il sogno finiva e iniziava la faticosa giornata di scuola.||||SOGNO+FINIRE+(PASSATO)+INIZIARE+(PASSATO)+GIORNATA+SCUOLA+FATICA
un giorno christian pregò la maestra di elencargli di nuovo le sette meraviglie del mondo e di svelargli perché la luce ci appare rossa quando abbiamo gli occhi chiusi.||||GIORNO+CHRISTIAN+CHIEDERE+(PASSATO)+RITA+MAESTRA+ELENCO+MERAVIGLIE+MONDO+SETTE+SPIEGARE+LUCE+ROSSA+OCCHI+CHIUSI
non rispose alla domanda, ringraziò la maestra rita e scappò verso casa.||||NON+RISPOSTA+DOMANDA+RINGRAZIARE+(PASSATO)+RITA+MAESTRA+SCAPPARE+(PASSATO)+CASA
sulla strada incontrò maya: "stasera entrerò nel verde e nel rosso", disse salutandola frettolosamente con un bacio sulla guancia e la ragazza naturalmente non poté capire.||||STRADA+INCONTRARE+(PASSATO)+MAYA+ENTRARE+(FUTURO)+VERDE+ROSSO+DIRE+(PASSATO)+SALUTARE+VELOCE+BACIO+GUANCIA+MAYA+NON+CAPIRE+(PASSATO)
ma quella sera, nel sogno, il verde e il rosso dell'arcobaleno non avevano più porte.||||SERA+SOGNO+VERDE+ROSSO+ARCOBALENO+NON+PORTE
christian restò prima sorpreso, poi deluso; non si accorgeva che il pony bianco si avvicinava sempre di più a lui e a maya: maya lo prese per mano e i due, protetti dalle lunghe ali di un albatro urlatore, volarono sul pony bianco, lasciando cadere le piccole pietre parlanti.||||CHRISTIAN+SORPRENDERE+(PASSATO)+DELUDERE+(PASSATO)+NON+VEDERE+(PASSATO)+PONY+BIANCO+AVVICINARE+MAYA+PRENDERE+(PASSATO)+MANO+VOLARE+(PASSATO)+PONY+BIANCO+ALI+LUNGHE+ALBATRO+PROTETTO+PIETRE+PARLANTI+CADERE
christian da quel sogno, mi piace pensare, non si risvegliò mai.||||CHRISTIAN+SOGNO+NON+SVEGLIARE+MAI
quel pomeriggio, prima di coricarsi, santa aveva puntato la sveglia prima del solito: aveva un sacco di cose da sbrigare quella notte ed era molto eccitato.||||POMERIGGIO+PRIMA+(CORICARSI)+SANTA+SVEGLIA+PUNTARE+(PASSATO)+PRIMA+SOLITO+LAVORI+MOLTI+(FARSI)+(PASSATO)+ECCITATO
la sua h.d. nuova di zecca lo aspettava in garage, trepidante.||||MOTO+H.D.+NUOVA+GARAGE+ASPETTARE+TREPIDANTE
le cromature tutte tirate a lucido riflettevano qualsiasi oggetto si trovasse abbastanza vicino.||||CROMATURE+TUTTE+LUCIDARE+RIFLETTERE+OGGETTO+VICINO
e lì in quel vecchio garage ce n'erano proprio tante di cose da riflettere.||||E+GARAGE+VECCHIO+TANTI+OGGETTO+RIFLETTERE
in un angolo c'era ancora la vecchia slitta che gli era stata fedele così a lungo.||||ANGOLO+ANCORARE+SLITTA+VECCHIA+FEDELE+LUNGO
non sapeva nemmeno lui quanto a lungo, ma sicuramente più che abbastanza.||||LUI+(SAPERE)+QUANTO+LUNGO+MA+SICURO+(ABBIORANZA)
aveva pensato di coprirla con un telone per preservarla dalla polvere ma poi non ne aveva avuto il coraggio perché gli sembrava di nasconderla agli occhi per farla dimenticare al cuore.||||(PENSARE)+(PASSATO)+COPRIRE+SLITTA+TELONE+PRESERVARE+POLVERE+(FARLO)+(PASSATO)+CORAGGIO+NO+NASCONDERE+OCCHIO+DIMENTICARE+CUORE
e lui era uno dal cuore tenero santa, claus di cognome.||||LUI+CUORE+TENERO+SANTA+CLAUS+COGNOME
onesto, sincero, amava essere sempre al centro dell'attenzione ma non era un narciso, anche se si tingeva capelli e barba con della brillantina dai riflessi argentati che gli donava un aspetto più interessante.||||ONESTO+SINCERO+(AMARE)+ATTENZIONE+CENTRO+SEMPRE+NON+NARCISO+(TINGERE)+CAPELLI+BARBA+BRILLANTINA+RIFLESSI+ARGENTO+ASPETTO+PIÙ+INTERESSANTE
diciamolo: lo aiutava ad apparire un po' più giovane, e lui lo sapeva, glielo aveva fatto notare anche quella vecchia megera della befana, e doveva essere proprio vero, perché quell'arpia non faceva mai complimenti gratuiti, piuttosto si sarebbe cucita la bocca a doppio filo.||||DIRE+AIUTARE+APPARIRE+PO'+PIÙ+GIOVANE+LUI+(SAPERE)+BEFANA+NOTARE+(FARSI)+(PASSATO)+VERO+ARPIA+COMPLIMENTI+MAI+GRATUITI+PIUTTOSTO+BOCCA+CUCIRE+FILO+DOPPIO
la sveglia al quarzo suonò puntuale alle undici di sera, l'ora che santa aveva scelto per alzarsi quel 24 dicembre.||||SVEGLIA+QUARZO+SUONARE+PUNTUALE+(ESSERE)+SERA+UNDICI+ORA+SANTA+(SCEGLIERE)+(PASSATO)+(ALZARSI)+DICEMBRE+24
si sedette un po' intontito sul bordo del letto e perlustrò la stanza facendo mente locale: doccia, colazione che altro?||||(SEDERSI)+PO'+INTONTITO+BORDO+LETTO+(PERLUSTRARE)+STANZA+MENTE+LOCALE+DOCCIA+COLAZIONE+CHE+ALTRO
beh, certo, doveva ancora passare dai fratelli chubbs per ritirare gli ultimi regali.||||CERTO+(DOVERE)+(PASSARE)+FRATELLI+CHUBBS+RITIRARE+REGALO+ULTIMO
quelli difficili, quelli ma sì, quelli che hanno sempre bisogno di una piccola aggiunta...||||DIFFICILE+SÌ+(AVERE)+SEMPRE+BISOGNO+AGGIUNTA+PICCOLA
se ne prendeva cura personalmente ogni anno, ma per il lavoro vero proprio si affidava a quel gruppo di pazzi furiosi dei chubbs.||||(PRENDERE)+(PASSATO)+CURA+PERSONALE+OGNI+ANNO+MA+LAVORO+VERO+(AFFIDARE)+GRUPPO+PAZZO+FURIOSI+CHUBBS
pazzi e geniali.||||PAZZO+GENIO
in tanti anni d'esperienza santa era arrivato a pensare che forse la genialità spesso si accompagna ad una certa come chiamarla? forse "eccentricità"?||||ANNI+MOLTI+ESPERIENZA+SANTA+(ARRIVARE)+(PENSARE)+FORSE+GENIALITÀ+OFTEN+ACCOMPAGNARE+CERTO+CHIAMARE+COME+FORSE+ECCENTRICITÀ
già, era proprio quella la parola.||||GIÀ+QUELLO+PAROLA
si trattava di tre fratelli, tutti maschi, e piuttosto vicini di età uno dall'altro, cosicché il più vecchio aveva solo due anni di differenza dal più giovane.||||ESSERE+TRE+FRATELLO+MASCHIO+ETÀ+VICINO+UNO+ALTRA+PIÙ+VECCHIO+DUE+ANNO+DIFFERENZA+PIÙ+GIOVANE
particolare d'importanza ridicola comunque, dato che erano folletti.||||IMPORTANZA+RIDICOLO+COMUNQUE+DATO+ESSERE+FOLLETTI
ma scordatevi il cappello a punta e le scarpettine verdi in tinta: visto il volume d'affari (anche la befana era loro cliente, e tanti altri nomi famosi, famosissimi), i chubbs si potevano permettere una villa con piscina e parco (un po' di bosco dovevano pur averlo attorno) ma soprattutto vestivano armani.||||MA+DIMENTICARE+CAPPELLO+PUNTA+SCARPETTA+VERDE+TINTA+VOLUME+AFFARI+BEFANA+CLIENTE+NOME+FAMOSO+MOLTI+CHUBBS+(POTERE)+PERMETTERE+VILLA+PISCINA+PARCO+BOSCO+INTORNO+MA+SOPRATTUTTO+(VESTIRE)+ARMANI
così santa ogni vigilia di natale andava in casa chubbs e li ritrovava nel grande salone con tutti i giochi commissionati ammucchiati da una parte, e vestiti con abiti impeccabili e nuovi fiammanti.||||COSÌ+SANTA+VIGILIA+NATALE+(ANDARE)+CASA+CHUBBS+(TROVARE)+GRANDE+SALONE+GIOCO+COMMISSIONARE+AMMUCCHIATO+UNA+PARTE+VESTITO+ABITI+IMPECCABILE+NUOVO+FIAMMANTE
"e scusateci se insistiamo nel farvelo notare, caro santa", gli dicevano ogni sacrosanta vigilia, "ma le cuciture sono fatte a mano e personalmente da giorgio"||||"E+SCUSARE+INSISTERE+NOTARE+CARO+SANTA"+DIRE+OGNI+SACROSANTA+VIGILIA+"MA+CUCITURA+FARE+MANO+PERSONALMENTE+GIORGIO"
"giorgio? giorgio chi?" faceva gigione santa, "il gommista giù all'angolo?"||||GIORGIO+GIORGIO+CHI+(PASSATO)+SANTA+GOMMISTA+ANGOLO+GIÙ
così i fratelli chubbs sghignazzando continuavano ad impiattinare i pacchi dei regali.||||FRATELLI+CHUBBS+PACCHI+REGALI+IMPIATTINARE+(PASSATO)
d'un tratto il telefonino di santa annunciò che era arrivato un sms (inutile dire che il messaggio acustico che dava l'avviso era jingle bells.): "aiuto! santa claus, sono in pericolo! mi richiami per favore? 0380batman".||||TELEFONINO+SANTA+SMS+ARRIVARE+(PASSATO)+AIUTO+SANTA+CLAUS+ESSERE+(PASSATO)+PERICOLO+RICHIAMARE+BATMAN
lo sguardo sbigottito, semi nascosto dalla barba argentea appena rifatta, preoccupò non poco i chubbs.||||SGUARDO+SBIGOTTITO+BARBA+ARGENTEA+APPENA+RIFARSI+CHUBBS+PREOCCUPARE+(PASSATO)
"che accade, qualche problema?" "no, nulla, sbrighiamoci per favore la notte è ancora lunga..e io mi faccio sempre più vecchio"||||CHE+ACCADERE+(PASSATO)+PROBLEMA+NULLA+SBIRGHIAMOCI+NOTTE+ANCORA+LUNGA+FACCIARE+(PASSATO)+SEMPRE+PIÙ+VECCHIO
in breve fu fuori a cavallo della sua hd, avvolto nella nebbia notturna, accompagnato dal regolare, possente rumore di quei cilindri in armonia tra loro come la sezione di fiati di un'orchestra importante.||||BREVE+ESSERE+(PASSATO)+FUORI+CAVALLO+HD+AVVOLTO+NEBBIA+NOTTURNA+ACCOMPAGNATO+RUMORE+REGOLARE+POSSNTE+CILINDRI+ARMONIA+SEZIONE+FIATI+ORCHESTRA+IMPORTANTE
la scritta sul campanello, con quel buio, era appena leggibile.||||SCRITTA+CAMPANELLO+BUIO+APPENA+LEGGIBILE+ESSERE+(PASSATO)
